image,title,author,technical,support_material,date
https://content3.cdnprado.net/imagenes/Documentos/imgsem/dc/dc82/dc8205a4-1d04-4335-a8b7-e36a7901d069/687d1f90-c197-4444-9e66-a97ff4136373_268.jpg,Retrato de senora joven,"Tintoretto, Jacopo Robusti (Atribuido)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/93/933b/933b0db2-6242-4717-9eae-ad9deb24df9d/dc01a126-7f64-41b4-94b4-a1904440c713_268.jpg,La Resurreccion de Cristo,"Zuccaro, Federico (Discipulo de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/02/02c5/02c5fc31-48c3-4284-ad23-2a9f354d3fdb/5fc20b08-8adf-41b1-a285-1a34a7eecb6a_268.jpg,Joven desconocido con un ramo de azahar en la mano derecha,Anonimo,Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/70/7084/70845555-0da8-4f5e-9ecd-7178714df7cf/2ca86142-5d93-4bef-8b43-2ff0f93719fd_268.jpg,La Virgen leyendo,"Luini, Bernardino (Segun Modelo de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/fa/fa06/fa062375-137a-42e6-bd09-84c76f1b2fad/4a4edadb-f7eb-4f20-8ba5-d4ed14eb38f9_268.jpg,La Virgen con el Niño,"Pulzone, Scipione (Obra Copiada de)",Oleo , lienzo,1500
https://content.cdnprado.net/imagenes/Documentos/imgsem/2e/2eec/2eecf4eb-c1ce-40b9-93f1-63dee4997bba/18808e2d-5875-406f-9b30-d1fa6612f7a4_268.jpg,Retrato de dama con sus hijos,Anonimo,Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/b7/b7b9/b7b96c98-c852-46b9-aad3-16198fcb85e8/fb83ad68-491e-4f5f-a179-38b8d2923a0a_268.jpg,Descanso en la Huida a Egipto,"Barocci, Federico (Obra Copiada de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/c6/c655/c655e923-8f0f-4705-954f-3cf6a7e5edd5/addc167b-911d-4799-b932-0ecefe271ef2_268.jpg,Cabeza de San Juan Bautista,"Solari, Andrea (Copia)",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/c9/c9f3/c9f3c281-7280-46ab-b023-d22c2844aa96/9337c176-0538-4ba0-a40f-46b4202c3bae_268.jpg,La Flagelacion o Cristo atado a la Columna,"Palma el Joven, Jacopo (Atribuido)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/ba/ba71/ba71fe9c-1dc5-4f30-9906-831787956cbd/2141ba11-5d5c-4097-a955-0f76492577fd_268.jpg,Dos cupidos leyendo,"Primaticcio, Francesco (Derivado de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/d1/d104/d104ff7f-5f4a-49f2-870e-01101f4d3d33/3f6d25b4-d6ce-429a-852f-590471999c36_268.jpg,La Dolorosa,"Tiziano, Vecellio Di Gregorio (Obra Copiada de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/e9/e9bc/e9bc3e19-e31f-4b97-a131-79d7a9e4465c/494be0da-ba1f-4126-a370-2756f64f25f1_268.jpg,Magdalena Penitente,"Tiziano, Vecellio Di Gregorio (Obra Copiada de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/14/1455/145571f7-25c6-4c9a-ad31-3f62995134e9/8471b67e-cf0f-4ca7-b6e3-8d2b2b72164b_268.jpg,Venus vendando los ojos a Cupido,"Tiziano, Vecellio Di Gregorio (Obra Copiada de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/a9/a9ca/a9ca9d9a-1de1-454d-85a1-90cbc02b8787/fcdb1d17-0038-4cbf-9484-6ed93ca97c75_268.jpg,Andromeda y el dragon,"Tiziano, Vecellio Di Gregorio (Obra Copiada de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/73/734e/734e8e53-4a83-4243-8d33-b50f45131355/9cc1acdb-70fa-432c-92b0-0762f485f49a_268.jpg,La Virgen de la silla,"Romano, Giulio (Obra Copiada de)",Oleo , lienzo,1500
https://content2.cdnprado.net/imagenes/Documentos/imgsem/69/693c/693cd089-dcd6-47cd-903e-f95a9799d085/8ca52474-2f0b-4aa5-b8ea-c3188c474b9c_268.jpg,La Ultima Cena,"Tiziano, Vecellio Di Gregorio (Obra Copiada de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/8f/8f14/8f14e116-4813-47c0-b119-41e38ea240b4/d55171fc-f393-406d-8948-349e93ee0050_268.jpg,Niño tocando el laud,Anonimo,Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/fd/fdbd/fdbde55b-c245-46d3-9c3b-392bc2027310/3da09e19-c1e6-42d4-a735-a4e425c19f35_268.jpg,Sagrada Familia con San Juanito y Santa Catalina,Anonimo,Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/6c/6cec/6cecca9e-de87-44e1-b926-ec6f1bb71ec1/167d98ef-6fe5-41ca-a928-5e433c139768_268.jpg,Las bodas de Cana,"Bassano, Leandro",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6a8f/6a8fb422-4a9e-44db-a365-1817d3c658c5/dd201870-71bb-4450-9e00-657bacc963eb_268.jpg,El Sol. Apolo con el signo de Leo,"Facchetti, Pietro",Oleo , lienzo,1500
https://content1.cdnprado.net/imagenes/Documentos/imgsem/06/0637/06377a2e-7a22-4e6c-b04a-7ab46d85fc49/6925c689-2db3-46ee-abcc-8968b0e45c9e_268.jpg,La Luna. Diana con el signo de Cancer,"Facchetti, Pietro",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/c1/c1a2/c1a2bb7a-e280-408c-a6a7-5fae68ef5baf/adf673b4-d017-4593-b8b4-b8b9e99bfa6a_268.jpg,Marte con los signos de Aries y Escorpion,"Facchetti, Pietro",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/f0/f0a8/f0a8dceb-4d48-45cf-8fe6-c9d24052af84/0d66c105-7cfe-4351-b6e0-33a012dc9f79_268.jpg,Mercurio con los signos de Geminis y Virgo,"Facchetti, Pietro",Oleo , lienzo,1500
https://content.cdnprado.net/imagenes/Documentos/imgsem/4a/4add/4add390b-6e11-47e3-9bd4-b79a96463500/3405f502-d309-40dc-9d16-f34aca79c733_268.jpg,Venus con los signos de Libra y Tauro,"Facchetti, Pietro",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/8a/8a38/8a38ad27-2dca-4c8d-a306-13326fff5601/13dae6cb-7413-4c4b-a81a-036c1aa40972_268.jpg,Las Constelaciones,"Facchetti, Pietro",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/d9/d999/d9995f23-f40d-42b9-a527-f19afcf631fb/18913360-dda0-4116-bc06-6525fb003e63_268.jpg,Sagrada Familia con San Juanito,Rafael (Obra Copiada de),Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/47/4766/47664172-748c-40ec-8ef6-2703d397434d/7af0dc29-614e-4a3f-b7b6-59d6116a3290_268.jpg,La Flagelacion,Miguel Angel (Discipulo de),Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/87/87d8/87d89862-f9a8-4b15-b85d-dfecbd499fc1/ebbafb4f-c70a-4321-bcb2-5611a255dc72_268.jpg,Descanso en la Huida a Egipto o La Virgen de la escudilla,Correggio (Obra Copiada de),Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/f4/f445/f4459c41-9ea9-4cae-b7c1-2aa3bc05b037/ec16ee18-ae20-4203-87e1-8b73d555a7d5_268.jpg,Jesus y San Juan abrazandose,"Luini, Bernardino (Copia)",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/c3/c36e/c36e85dc-01d5-4137-b05a-70f1d89b5a8f/3cca8b72-3002-4d4b-996b-00e8d613fb41_268.jpg,"Cristo muerto con la Virgen, la Magdalena y santos",Anonimo,Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/01/019f/019f6269-2b20-46d9-8dda-5b69af14168a/8af9b732-371d-46a5-a82e-d9115e79ee34_268.jpg,La Idolatria de Salomon,Anonimo,Oleo , lamina de cobre,1500
https://content.cdnprado.net/imagenes/Documentos/imgsem/6c/6c5d/6c5db072-aa19-45b5-a18d-f422e66fffff/b6e866f1-b14e-4b35-937b-d2319929adb5_268.jpg,La Virgen con el Niño,Anonimo,Oleo , lamina de cobre,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/cb/cba8/cba830ef-156d-4780-8254-156f2ea900b6/eb15c0f2-b4b4-47df-9701-b60427f12a93_268.jpg,Adoracion de los pastores,Anonimo,Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/76/7649/7649ec15-23df-42a7-949e-749bf273ce6a/478c9456-34de-4bac-9460-cd909690fba2_268.jpg,Conversion de san Pablo,Anonimo,Oleo , lamina de cobre,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/91/9136/91367a35-b03e-49bc-b96c-7123e8e02989/848dd0d7-1b2c-40b7-bbc3-8d3d28d695ad_268.jpg,El Paraiso terrenal,Bassano (Taller de),Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/5e/5e1a/5e1a1986-966f-47b7-990b-3baf2024f3f7/822c2a68-5934-4a2d-8864-0181c97a384f_268.jpg,La Magdalena despojandose de sus vestiduras,Anonimo,Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/db/db78/db786681-5ca6-4943-87d6-e3ee4b18290a/7179812c-aa40-46bb-a792-45589aa0473b_268.jpg,La Natividad,Anonimo,Oleo , tabla,1500
